TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,Age_Group
T00001,C2824,0,0.28846153846153855,0,Fashion,3,0.8936734693877552,2023-03-15,Cash,0.5364950279801924,March,2,30-40
T00002,C1409,-1,0.03846153846153849,1,Books,5,0.19408163265306125,2023-01-22,Card,0.2070936833205846,January,6,20-30
T00003,C5506,-1,0.5576923076923077,1,Furniture,1,0.0022448979591836726,2023-04-18,Wallet,0.0,April,1,40-50
T00004,C5012,-1,0.05769230769230771,2,Groceries,5,0.5808163265306122,2023-08-09,Cash,0.5885502636982165,August,2,20-30
T00005,C4657,0,0.4423076923076924,3,Sports,1,0.616938775510204,2023-09-23,Wallet,0.12126092032690526,September,5,40-50
T00006,C3286,1,0.8653846153846155,4,Furniture,2,0.5424489795918367,2023-05-23,Card,0.21760135271146183,May,1,60+
T00007,C2679,-1,0.23076923076923084,1,Electronics,5,0.1389795918367347,2023-10-22,Card,0.15274366922984017,October,6,30-40
T00008,C9935,0,0.326923076923077,2,Books,5,0.9181632653061225,2023-11-12,Cash,0.9212931277426628,November,6,30-40
T00009,C2424,0,0.4423076923076924,5,Books,5,0.44142857142857145,2023-06-10,Cash,0.45106485768348165,June,5,40-50
T00010,C7912,1,1.0,6,Groceries,1,0.223265306122449,2023-02-20,UPI,0.04360078908168606,February,0,60+
T00011,C1520,1,0.5576923076923077,3,Books,5,0.6826530612244898,2023-06-27,Card,0.6889971415918515,June,1,40-50
T00012,C1488,0,0.6153846153846154,3,Sports,5,0.4928571428571429,2023-05-26,Cash,0.5017915375015097,May,4,50-60
T00013,C2535,1,0.48076923076923084,5,Groceries,2,0.5426530612244898,2023-03-26,Wallet,0.21768187125085553,March,6,40-50
T00014,C4582,-1,0.7692307692307693,3,Furniture,4,0.09571428571428572,2023-03-02,Cash,0.08716131889367527,March,3,50-60
T00015,C4811,0,0.13461538461538464,1,Sports,5,0.017346938775510204,2023-05-28,Cash,0.03277104553323403,May,6,20-30
T00016,C9279,-1,0.826923076923077,2,Beauty,1,0.5942857142857143,2023-05-21,Wallet,0.11679214139055517,May,6,60+
T00017,C1434,0,0.019230769230769273,4,Furniture,1,0.36653061224489797,2023-09-07,Wallet,0.07186279640887314,September,3,10-20
T00018,C4257,-1,0.28846153846153855,0,Fashion,5,0.46755102040816326,2023-08-13,Wallet,0.4768307902894642,August,6,30-40
T00019,C9928,1,0.4423076923076924,0,Electronics,2,0.2953061224489796,2023-04-25,Wallet,0.12009340150569668,April,1,40-50
T00020,C7873,1,0.5961538461538463,3,Books,1,0.42795918367346936,2023-03-28,Card,0.0839808365876243,March,1,40-50
T00021,C4611,-1,0.730769230769231,4,Electronics,3,0.026122448979591838,2023-05-28,Cash,0.023068561536293733,May,6,50-60
T00022,C8359,0,0.5384615384615385,7,Fashion,2,0.8983673469387755,2023-05-13,UPI,0.3580256854140666,May,5,40-50
T00023,C5557,0,0.21153846153846156,6,Groceries,2,0.9751020408163266,2023-11-07,Wallet,0.38830065622609605,November,1,20-30
T00024,C1106,-1,0.576923076923077,7,Groceries,5,0.17775510204081635,2023-02-24,Wallet,0.1909899754418455,February,4,40-50
T00025,C3615,-1,0.7115384615384616,3,Beauty,4,0.6385714285714286,2023-04-29,UPI,0.5155199484681348,April,5,50-60
T00026,C7924,1,0.6730769230769232,6,Books,1,0.43020408163265306,2023-12-08,Card,0.08442368855428962,December,4,50-60
T00027,C6574,1,0.42307692307692313,7,Beauty,5,0.9208163265306123,2023-05-23,UPI,0.9239099802729579,May,1,40-50
T00028,C5552,-1,0.42307692307692313,2,Furniture,5,0.3444897959183673,2023-03-14,UPI,0.3554490921534683,March,1,40-50
